ΕΞΑΜΗΝΟ, ΜΑΘΗΜΑ, ΚΑΘΗΓΗΤΗΣ, ΤΜΗΜΑ, ΣΧΟΛΙΑ, ΩΡΑ, ΑΙΘΟΥΣΑ, ΗΜΕΡΑ
7, ΓΡΑΦΙΚΑ ΥΠΟΛΟΓΙΣΤΩΝ, Γ.ΠΑΠΑΪΩΑΝΝΟΥ, Πληροφορικής, ΦΡΟΝΤΙΣΤΗΡΙΟ, 13-15, CSLAB 1, Τετάρτη
7, ΓΡΑΦΙΚΑ ΥΠΟΛΟΓΙΣΤΩΝ, Γ.ΠΑΠΑΪΩΑΝΝΟΥ, Πληροφορικής, -, 15-17, Α25, Πέμπτη
7, ΔΗΜΙΟΥΡΓΙΑ ΚΑΙ ΧΡΗΣΗ ΨΗΦΙΑΚΟΥ ΕΚΠΑΙΔΕΥΤΙΚΟΥ ΥΛΙΚΟΥ ΣΤΙΣ ΣΥΓΧΡΟΝΕΣ ΜΕΘΟΔΟΛΟΓΙΕΣ ΕΚΠΑΙΔΕΥΣΗΣ, Α. Ανδρούτσος, Πληροφορικής, -, 19-21, Α32, Δευτέρα
7, ΔΗΜΙΟΥΡΓΙΑ ΚΑΙ ΧΡΗΣΗ ΨΗΦΙΑΚΟΥ ΕΚΠΑΙΔΕΥΤΙΚΟΥ ΥΛΙΚΟΥ ΣΤΙΣ ΣΥΓΧΡΟΝΕΣ ΜΕΘΟΔΟΛΟΓΙΕΣ ΕΚΠΑΙΔΕΥΣΗΣ, Α. Ανδρούτσος, Πληροφορικής, -, 17-19, Η/Υ 2, Τρίτη
7, ΕΙΔΙΚΑ ΘΕΜΑΤΑ ΑΛΓΟΡΙΘΜΩΝ, ΕΣΠΑ, Πληροφορικής, -, 17-19, Δ22, Τετάρτη
7, ΕΙΔΙΚΑ ΘΕΜΑΤΑ ΑΛΓΟΡΙΘΜΩΝ, ΕΣΠΑ, Πληροφορικής, -, 9-11, Α24, Παρασκευή
7, ΕΙΔΙΚΑ ΘΕΜΑΤΑ ΕΠΙΧΕΙΡΗΣΙΑΚΗΣ ΕΡΕΥΝΑΣ, ΔΗΜΑΚΗΣ, Πληροφορικής, -, 13-15, Α24, Τρίτη
7, ΕΙΔΙΚΑ ΘΕΜΑΤΑ ΕΠΙΧΕΙΡΗΣΙΑΚΗΣ ΕΡΕΥΝΑΣ, ΔΗΜΑΚΗΣ, Πληροφορικής, -, 17-19, Α24, Πέμπτη
7, ΕΙΔΙΚΑ ΘΕΜΑΤΑ ΕΠΙΧΕΙΡΗΣΙΑΚΗΣ ΕΡΕΥΝΑΣ, ΔΗΜΑΚΗΣ, Πληροφορικής, ΦΡΟΝΤΙΣΤΗΡΙΟ, 19-21, Α22, Παρασκευή
7, ΕΞΟΡΥΞΗ ΓΝΩΣΗΣ ΑΠΟ ΒΑΣΕΙΣ ΔΕΔΟΜΕΝΩΝ ΚΑΙ ΤΟΝ ΠΑΓΚΟΣΜΙΟ ΙΣΤΟ, Μ.ΒΑΖΙΡΓΙΑΝΝΗΣ, Πληροφορικής, -, 17-19, Α23, Τετάρτη
7, ΕΞΟΡΥΞΗ ΓΝΩΣΗΣ ΑΠΟ ΒΑΣΕΙΣ ΔΕΔΟΜΕΝΩΝ ΚΑΙ ΤΟΝ ΠΑΓΚΟΣΜΙΟ ΙΣΤΟ, Μ.ΒΑΖΙΡΓΙΑΝΝΗΣ, Πληροφορικής, -, 9-11, Α32, Πέμπτη
7, ΕΠΙΚΟΙΝΩΝΙΑ ΑΝΘΡΩΠΟΥ -ΥΠΟΛΟΓΙΣΤΗ, Ι. ΑΝΔΡΟΥΤΣΟΠΟΥΛΟΣ, Πληροφορικής, -, 15-17, Α24, Δευτέρα
7, ΕΠΙΚΟΙΝΩΝΙΑ ΑΝΘΡΩΠΟΥ -ΥΠΟΛΟΓΙΣΤΗ, Ι. ΑΝΔΡΟΥΤΣΟΠΟΥΛΟΣ, Πληροφορικής, -, 17-19, Α25, Πέμπτη
7, ΕΠΙΚΟΙΝΩΝΙΑ ΑΝΘΡΩΠΟΥ -ΥΠΟΛΟΓΙΣΤΗ, Ι. ΑΝΔΡΟΥΤΣΟΠΟΥΛΟΣ, Πληροφορικής, ΦΡΟΝΤΙΣΤΗΡΙΟ, 19-21, CSLAB 1, Πέμπτη
7, ΜΕΤΑΓΛΩΤΤΙΣΤΕΣ, Β. ΚΑΛΟΓΕΡΑΚΗ, Πληροφορικής, ΦΡΟΝΤΙΣΤΗΡΙΟ, 13-15, CSLAB 1, Δευτέρα
7, ΜΕΤΑΓΛΩΤΤΙΣΤΕΣ, Β. ΚΑΛΟΓΕΡΑΚΗ, Πληροφορικής, -, 9-11, Α25, Τρίτη
7, ΜΕΤΑΓΛΩΤΤΙΣΤΕΣ, Β. ΚΑΛΟΓΕΡΑΚΗ, Πληροφορικής, ΦΡΟΝΤΙΣΤΗΡΙΟ, 11-13, CSLAB 2, Τρίτη
7, ΜΕΤΑΓΛΩΤΤΙΣΤΕΣ, Β. ΚΑΛΟΓΕΡΑΚΗ, Πληροφορικής, -, 11-13, Α24, Παρασκευή
7, ΜΕΤΑΓΛΩΤΤΙΣΤΕΣ, Β. ΚΑΛΟΓΕΡΑΚΗ, Πληροφορικής, ΦΡΟΝΤΙΣΤΗΡΙΟ, 13-15, CSLAB 1, Παρασκευή
7, ΜΗΧΑΝΙΚΗ ΜΑΘΗΣΗ, ΤΙΤΣΙΑΣ, Πληροφορικής, -, 11-13, Α47, Τρίτη
